Organization,Type,Loation,Website,Twitter,Facebook,People,Likely Inactive,Last Mode
Lung Care Foundation ,"Advocacy, Public Engagement & Awareness, Non Profit",Delhi,http://lcf.org.in/,https://twitter.com/icareforlungs,https://www.facebook.com/foundation.lung.care,,,9/1/2020 3:19pm
Mothers for Clean Air ,Community,,,,,,,9/1/2020 3:37pm
My Right To Breathe (MRTB),"Public Engagement & Awareness, Advocacy",Delhi,,https://twitter.com/MRTB_India,https://www.facebook.com/myrightto/,,,9/1/2020 3:19pm
Nasofilters,"Industry, Start-up",,https://nasofilters.com/,https://twitter.com/nasofilters,https://www.facebook.com/Nasofilters/,,,8/28/2019 2:07am
National Environmental Engineering Research Institute (NEERI),Government,Nagpur,http://www.neeri.res.in/,https://twitter.com/DirectorNEERI,,K V George,,9/1/2020 3:26pm
NRDC India ,Policy,Delhi,https://www.nrdc.org/india,https://twitter.com/NRDC_India,,Polash Mukherjee,,9/1/2020 3:25pm
Observer Research Foundation (ORF) ,Policy,Mumbai,https://www.orfonline.org/about-us/,https://twitter.com/orfonline,https://www.facebook.com/Observer-Research-Foundation-184850724955326/,,,9/1/2020 3:25pm
Oizom,Industry,,https://oizom.com/,https://twitter.com/oizom_iot?lang=en,,,,8/28/2019 1:46am
Okapi Advisory Services Pvt Ltd,"Policy, Consulting",Chennai,http://okapia.co,,,,,9/1/2020 3:25pm
OpenAQ,"Open data, International",,https://openaq.org/#/?_k=mify9j,https://twitter.com/open_aq,,,,
PAAP in India ,Storytelling,,,https://twitter.com/PollutionTales,,,,8/17/2019 2:07am
Parisar,"Public Engagement & Awareness, Advocacy",Pune,http://www.parisar.org,,,,,9/1/2020 3:25pm
Parisar,"Advocacy, Policy, Public Engagement & Awareness",Pune,https://www.parisar.org/,,,,,9/1/2020 3:20pm
Peoples Resource Centre / National Alliance of People’s Movements,,,,,,,,9/1/2020 3:21pm
PerSapien Innovations,Industry,,https://persapien.com/,https://twitter.com/per_sapien,https://www.facebook.com/perSapien,,,8/28/2019 2:10am
Personal Air Quality Systems Private Limited,Industry,,http://www.paqs.biz/,,,A Vaidyanathan,,8/28/2019 1:56am
Phoenix Robotix,"Industry, Start-up",,https://phoenixrobotix.com/,https://twitter.com/PhoenixRobotix,https://www.facebook.com/phoenixrobotix,,,8/28/2019 2:03am
Physical Research Laboratory (PRL),"Research, Government",Ahmedabad,https://www.prl.res.in/prl-eng/,,,,,9/1/2020 3:25pm
Pisces Foundation,Foundation,,,,,,,9/1/2020 3:21pm
Prayas,"Policy, Research",,https://www.prayaspune.org/,,,,,8/17/2019 2:13am
Pt. Ravishankar Shukla University,Research,Raipur,,,,,,9/1/2020 3:35pm
Public Health Foundation of India (PHFI) ,"Research, Policy",,http://www.phfi.org,https://twitter.com/thePHFI,https://www.facebook.com/thePHFI,,,8/17/2019 2:39am
Purpose,"Public Engagement & Awareness, Communication",,,,,,,9/1/2020 3:21pm
Reap Benefit,"Open data, Public Engagement & Awareness",,https://reapbenefit.org/,,,,,8/17/2019 2:37am
Rocky Mountain Institute,Policy,,,,,,,9/1/2020 3:22pm
Saahas,,Bengaluru,,,,,,9/1/2020 3:23pm
Schillings Air,Industry,,https://www.schillingsair.com/,,,,,8/28/2019 1:42am
Sensing Local,"Consulting, Advocacy",Bengaluru,https://www.sensinglocal.in/,,,,,9/1/2020 3:25pm
Shakti Sustainable Energy Foundation (SSEF),Foundation,Delhi,http://shaktifoundation.in/,https://twitter.com/ShaktiFdn,,,,9/1/2020 3:25pm
Shellios,"Industry, Start-up",,https://shellios.com/,https://twitter.com/shelliostech,https://www.facebook.com/shelliostech,,,8/28/2019 2:08am
Smart Air Filters,Industry,,https://smartairfilters.com/in/en/,https://twitter.com/smartairfilters,https://www.facebook.com/SmartAirIndia/,,,
SRM Institute of Science and Technology,Research,,https://www.sriramachandra.edu.in/university/academics.php?did=41,,,,,9/4/2019 11:23pm
SWAN Environmental ,Industry,,http://www.swanenviron.com/profile.php,,,,,
Sweccha,"Advocacy, Public Engagement & Awareness, Non Profit",,http://swechha.in/,https://twitter.com/swechhaindia,https://www.facebook.com/SwechhaIndia?ref=hl,,,8/17/2019 2:36am
SwitchON Foundation,,Kolkata,,,,,,9/1/2020 3:23pm
Tata Institute of Social Sciences,"Research, Public Engagement & Awareness",Mumbai,,,,,,9/1/2020 3:29pm
The Climate Agenda,"Public Engagement & Awareness, Advocacy",Varanasi,http://www.tcaindia.co.in/index.php?menuid=1,,,,,9/1/2020 3:25pm
The Energy and Resources Institute (TERI),"Policy, Research",Delhi,https://www.teriin.org/,https://twitter.com/teriin,https://www.facebook.com/TERIIN/,"Sumit Sharma, Meen Sehgal",,9/1/2020 3:25pm
The Energy Policy Institute at the University of Chicago (EPIC India),"Research, Policy",Delhi,https://epic.uchicago.in/,https://twitter.com/EPIC_India,https://www.facebook.com/UChicagoEPICIndia/,Ashirbad S Raha ,,9/1/2020 3:25pm
The International Council on Clean Transportation (ICCT),"Research, Policy, International",,https://www.theicct.org,https://twitter.com/theicct,,,,
The Nature Conservancy India,"Research, Policy",De;hi,https://www.nature.org/ourinitiatives/regions/india/index.htm,,,,,9/1/2020 3:25pm
The Oak Foundation ,"Foundation, International",,http://www.oakfnd.org,https://twitter.com/oakfnd,,,,
The Regulatory Assistance Project (RAP),Policy,,,,,,,9/1/2020 3:24pm
United Nations Development Programme (UNDP),,Delhi,,,,,,9/1/2020 3:24pm
Urban Sciences,"Consulting, Open data",Mumbai,http://atmos.urbansciences.in,,,Ronak Sutaria,,9/1/2020 3:25pm
Urban Voices.in,Communication,Ahmedabad,,,,,,9/1/2020 3:27pm
UrbanEmissions.info,Research,,http://www.urbanemissions.info/,https://twitter.com/UrbanEmissions?lang=en,,Sarath Guttikunda,,8/28/2019 1:50am
Urja,,Delhi,,,,,,9/1/2020 3:28pm
Vanashakti,,Mumbai,,,,,,9/1/2020 3:28pm
Vidhi Centre for Legal Policy,"Legal, Policy",,https://vidhilegalpolicy.in,https://twitter.com/Vidhi_India,,,,
Vital Strategies,"Public Engagement & Awareness, Policy, Research",,https://www.vitalstrategies.org/,https://twitter.com/VitalStrat,https://www.facebook.com/vitalstrategies,,,8/17/2019 2:21am
Waatavaran,,Maharashtra,http://waatavaran.in/,https://twitter.com/waatavaran,,,,9/1/2020 3:34pm
World Bank ,"International, Policy, Funder",,https://www.worldbank.org/,,,,,8/17/2019 2:40am
World Health Organization (WHO),"International, Policy, Public Engagement & Awareness",,https://www.who.int/airpollution/en/,https://twitter.com/WHO,https://www.facebook.com/WHO,,,8/29/2019 8:54pm
World Health Organization (WHO) India office ,"International, Policy, Public Engagement & Awareness",Delhi,http://www.searo.who.int/india/en/,,,Manjeet Saluja,,9/1/2020 3:27pm
World Health Organization South East Asia Regional Office (WHO SEARO),"Public Engagement & Awareness, International",,http://www.searo.who.int/en/,https://twitter.com/WHOSEARO,https://www.facebook.com/WHOSEARO,Lesley Onyon,,8/29/2019 8:56pm
World Resources Institute (WRI) ,"Policy, Consulting",Mumbai,http://wri-india.org,https://twitter.com/wriindia,https://www.facebook.com/wriindia/,"Ajay Nagpure, Bhavay Sharma",,9/1/2020 3:27pm
WWF India,,Delhi,,,,,,9/1/2020 3:28pm
Youth Clean Air Network,"Advocacy, Public Engagement & Awareness, Non Profit",,http://www.youthforcleanair.com/Default.aspx,,,,,8/17/2019 2:36am
Yuktix,"Industry, Start-up",,http://www.yuktix.com/,https://twitter.com/yuktix,https://www.facebook.com/yuktix,,,8/28/2019 2:04am
Sree Krishna College Guruvayur,Government,Guruvayur,https://www.sreekrishnacollege.in/,,,,,9/1/2020 10:20pm
Conexsym Global Pvt. Ltd.,"Research, Consulting, Global, Public Engagement & Awareness",Noida,www.conexsym.com,https://twitter.com/conexsym,https://www.facebook.com/profile.php?id=100041043078960,,,9/1/2020 11:22pm
Vijay Panjwani,Advocacy,New Delhi,,,Vijay Panjwani,,,9/2/2020 1:15pm
"Hindu College, University of Delhi",Government,Delhi,www.hinducollege.ac.in,,,,,9/3/2020 1:05am
"Department of Environmental Studies, Zakir Husain Delhi College, University of Delhi",Government,New Delhi,http://www.zakirhusaindelhicollege.ac.in/,https://twitter.com/ZakirHCollegeDU,https://www.facebook.com/zhdelhicollege,,,9/3/2020 1:12am
Air Pollution Action Group,"Non Profit, Advocacy, Public Engagement & Awareness, Start-up","New Delhi, India",www.a-pag.org,,,,,9/3/2020 8:20am
